cv_id,n_skills,n_skill_communities,skill_modularity,specialization_score,seniority,domain
CV_000,8,2,0.008873456790123468,0.30532407407407414,senior,tech
CV_001,5,3,0.5,0.46,junior,tech
CV_002,9,2,0.10826888756692438,0.37607244365126574,senior,tech
CV_003,8,2,0.08263971462544581,0.3495838287752675,senior,tech
CV_004,5,1,0.0,0.32000000000000006,junior,research
CV_005,9,7,0.0,0.08888888888888889,mid,tech
CV_006,6,1,0.0,0.33333333333333337,junior,business
CV_007,7,3,0.31999999999999995,0.42057142857142854,mid,tech
CV_008,9,2,0.14496527777777773,0.3980902777777777,senior,business
CV_009,6,3,0.03061224489795908,0.21836734693877546,junior,business
CV_010,6,4,0.0,0.13333333333333336,junior,business
CV_011,7,3,0.2448979591836735,0.37551020408163266,mid,business
CV_012,9,4,0.07986111111111116,0.27013888888888893,mid,tech
CV_013,8,3,0.019999999999999893,0.26199999999999996,mid,tech
CV_014,5,1,0.0,0.32000000000000006,junior,business
CV_015,7,2,0.16568047337278105,0.3851225697379544,junior,tech
CV_016,8,5,0.03061224489795908,0.16836734693877548,mid,tech
CV_017,7,5,0.0,0.11428571428571428,mid,research
CV_018,8,4,0.0,0.2,mid,tech
CV_019,8,2,0.023374726077428756,0.3140248356464573,senior,tech
CV_020,7,5,0.0,0.11428571428571428,junior,research
CV_021,6,4,0.0,0.13333333333333336,junior,research
CV_022,7,4,0.0,0.17142857142857146,junior,tech
CV_023,5,1,0.0,0.32000000000000006,junior,tech
CV_024,9,3,0.18836565096952912,0.37968605724838417,mid,tech
CV_025,9,3,0.04142011834319531,0.2915187376725839,mid,research
CV_026,7,2,0.3194444444444443,0.47738095238095235,mid,tech
CV_027,9,2,0.04663923182441694,0.3390946502057613,mid,research
CV_028,9,6,0.12244897959183669,0.20680272108843537,mid,business
CV_029,7,3,0.0,0.22857142857142856,mid,tech
CV_030,7,4,0.03061224489795908,0.1897959183673469,junior,research
CV_031,6,2,0.03550295857988167,0.28796844181459574,junior,tech
CV_032,7,3,0.03550295857988167,0.24987320371935756,junior,tech
CV_033,6,1,0.0,0.33333333333333337,junior,research
CV_034,9,5,0.03305785123966938,0.19761248852157942,mid,research
CV_035,7,4,0.0,0.17142857142857146,mid,tech
CV_036,10,2,0.17637877211238293,0.4258272632674298,senior,research
CV_037,6,2,0.03550295857988167,0.28796844181459574,junior,business
CV_038,7,4,0.0,0.17142857142857146,mid,tech
CV_039,8,4,0.11999999999999983,0.2719999999999999,mid,business
CV_040,10,4,0.2573964497041421,0.39443786982248524,senior,tech
CV_041,6,2,0.0,0.2666666666666667,junior,tech
CV_042,8,5,0.0,0.15000000000000002,mid,business
CV_043,8,2,0.18282548476454297,0.4096952908587258,mid,tech
CV_044,7,3,0.0,0.22857142857142856,junior,research
CV_045,7,2,0.10204081632653067,0.34693877551020413,mid,tech
CV_046,8,2,0.0,0.30000000000000004,mid,tech
CV_047,8,2,0.10329861111111122,0.36197916666666674,senior,tech
CV_048,7,3,0.0,0.22857142857142856,junior,tech
CV_049,7,3,0.0,0.22857142857142856,junior,business
CV_050,7,2,0.16568047337278105,0.3851225697379544,junior,business
CV_051,7,3,0.2448979591836735,0.37551020408163266,mid,business
CV_052,5,1,0.0,0.32000000000000006,junior,research
CV_053,9,3,0.06489795918367347,0.3056054421768708,senior,research
CV_054,8,4,0.19499999999999995,0.31699999999999995,mid,tech
CV_055,6,3,0.0,0.2,junior,business
CV_056,10,3,0.16468489892984542,0.3788109393579072,senior,tech
CV_057,8,2,0.053719008264462784,0.3322314049586777,mid,tech
CV_058,8,2,0.016646848989298385,0.30998810939357907,senior,business
CV_059,6,2,0.0,0.2666666666666667,junior,business
CV_060,8,2,0.018880208333333343,0.31132812500000007,senior,tech
CV_061,6,2,0.0,0.2666666666666667,junior,tech
CV_062,8,2,0.25,0.45000000000000007,mid,business
CV_063,7,3,0.16666666666666663,0.3285714285714285,junior,business
CV_064,7,2,0.0,0.28571428571428575,mid,tech
CV_065,8,3,0.22000000000000006,0.382,mid,business
CV_066,9,5,0.0,0.17777777777777778,mid,tech
CV_067,7,3,0.03305785123966938,0.2484061393152302,mid,research
CV_068,7,2,0.013605442176870763,0.2938775510204082,mid,research
CV_069,9,4,0.03061224489795908,0.2405895691609977,mid,business
CV_070,9,4,0.09375,0.27847222222222223,mid,tech
CV_071,10,3,0.09131469363474123,0.3347888161808447,senior,research
CV_072,9,3,0.31065088757396464,0.4530571992110455,mid,research
CV_073,8,3,0.0668934240362811,0.29013605442176865,senior,research
CV_074,9,4,0.09375,0.27847222222222223,mid,tech
CV_075,9,2,0.3194444444444443,0.5027777777777777,mid,tech
CV_076,8,4,0.0,0.2,mid,research
CV_077,8,2,0.04874999999999999,0.32925000000000004,senior,business
CV_078,8,3,0.19499999999999995,0.367,mid,tech
CV_079,8,2,0.054421768707483026,0.33265306122448984,mid,business
CV_080,5,3,0.0,0.16000000000000003,junior,tech
CV_081,10,2,0.12068965517241381,0.39241379310344837,senior,research
CV_082,9,2,0.14366729678638948,0.3973114891829448,mid,business
CV_083,8,2,0.019965277777777846,0.31197916666666675,senior,business
CV_084,9,4,0.16568047337278105,0.32163050624589085,mid,research
CV_085,7,2,0.16568047337278105,0.3851225697379544,junior,business
CV_086,7,2,0.22000000000000006,0.4177142857142858,mid,business
CV_087,5,1,0.0,0.32000000000000006,junior,tech
CV_088,7,2,0.0,0.28571428571428575,mid,research
CV_089,7,3,0.03550295857988167,0.24987320371935756,junior,research
CV_090,6,3,0.0,0.2,junior,business
CV_091,9,6,0.0,0.13333333333333336,mid,business
CV_092,9,5,0.03305785123966938,0.19761248852157942,senior,business
CV_093,5,1,0.0,0.32000000000000006,junior,research
CV_094,5,1,0.0,0.32000000000000006,junior,business
CV_095,5,2,0.0,0.24,junior,business
CV_096,5,3,0.0,0.16000000000000003,junior,tech
CV_097,5,1,0.0,0.32000000000000006,junior,business
CV_098,8,2,0.029296875,0.31757812500000004,mid,research
CV_099,5,2,0.0,0.24,junior,business
